id,tweet_text,labeled_brand_or_product,detected_emotion,sentiment,brand,tweet_char_count
5,@teachntech00 New iPad Apps For #SpeechTherapy And Communication Are Showcased At The #SXSW Conference http://ht.ly/49n4M #iear #edchat #asd,UNKNOWN,No emotion toward brand or product,Neutral,Apple,140
16,Holler Gram for iPad on the iTunes App Store -  http://t.co/kfN3f5Q (via @marc_is_ken) #sxsw,UNKNOWN,No emotion toward brand or product,Neutral,Apple,92
32,"Attn: All  #SXSW frineds, @mention Register for #GDGTLive  and see Cobra iRadar for Android. {link}",UNKNOWN,No emotion toward brand or product,Neutral,Google,99
33,Anyone at  #sxsw want to sell their old iPad?,UNKNOWN,No emotion toward brand or product,Neutral,Apple,45
34,Anyone at  #SXSW who bought the new iPad want to sell their older iPad to me?,UNKNOWN,No emotion toward brand or product,Neutral,Apple,77
35,"At #sxsw.  Oooh. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link}",UNKNOWN,No emotion toward brand or product,Neutral,Google,108
37,SPIN Play - a new concept in music discovery for your iPad from @mention &amp; spin.com {link} #iTunes #sxsw @mention,UNKNOWN,No emotion toward brand or product,Neutral,Apple,117
39,VatorNews - Google And Apple Force Print Media to Evolve? {link} #sxsw,UNKNOWN,No emotion toward brand or product,Neutral,BOTH,70
41,"HootSuite - HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android: Whether you�۪re getting friend... {link}",UNKNOWN,No emotion toward brand or product,Neutral,BOTH,127
42,Hey #SXSW - How long do you think it takes us to make an iPhone case? answer @mention using #zazzlesxsw and we�۪ll make you one!,UNKNOWN,No emotion toward brand or product,Neutral,Apple,128
43,Mashable! - The iPad 2 Takes Over SXSW [VIDEO] #ipad #sxsw #gadgets {link},UNKNOWN,No emotion toward brand or product,Neutral,Apple,74
44,For I-Pad ?RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by ... {link},UNKNOWN,No emotion toward brand or product,Neutral,Apple,123
47,Orly....? ���@mention Google set to launch new social network #Circles today at #sxsw�۝,UNKNOWN,No emotion toward brand or product,Neutral,Google,87
49,Khoi Vinh (@mention says Conde Nast's headlong rush into iPad publishing was a &quot;fundamental misunderstanding&quot; of the platform #sxsw,UNKNOWN,No emotion toward brand or product,Neutral,Apple,141
50,"���@mention {link} &lt;-- HELP ME FORWARD THIS DOC to all Anonymous accounts, techies,&amp; ppl who can help us JAM #libya #SXSW",UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,128
51,��� WHAT? ��_ {link} ��_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,79
52,".@mention @mention on the location-based 'fast, fun and future' - {link} (via @mention #sxsw",UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,92
53,���@mention @mention #Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxsw�۝ @mention,UNKNOWN,No emotion toward brand or product,Neutral,Google,116
55,"{link} RT @mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.",UNKNOWN,No emotion toward brand or product,Neutral,Google,145
57,{link} RT @mention Those at #SXSW check out the Holler Gram ipad app from @mention  {link},UNKNOWN,No emotion toward brand or product,Neutral,Apple,90
58,@mention  @mention &amp;  @mention having fun at #google [pic] #SXSW {link},UNKNOWN,No emotion toward brand or product,Neutral,Google,75
59,&quot;via @mention : {link} Guy Kawasaki talks 'Enchanted' at SXSW - HE knows his stuff! #books #internet #Apple #sxsw  &quot;,UNKNOWN,No emotion toward brand or product,Neutral,Apple,126
60,"#futuremf @mention {link} spec for recipes on the web, now in google search: {link}  #sxsw",UNKNOWN,No emotion toward brand or product,Neutral,BOTH,90
61,"#Smile RT @mention I think Apple's &quot;pop-up store&quot; in Austin would be a lot more interesting if it actually, you know... popped up #sxsw",Apple,No emotion toward brand or product,Neutral,Apple,145
63,Agree. RT @mention Wait. FIONA APPLE is in town??? Somebody kidnap her and put her in a recording studio until she records a new album. #sxsw,UNKNOWN,No emotion toward brand or product,Neutral,Apple,141
64,At #sxsw? @mention / @mention wanna buy you a drink. 7pm at Fado on 4th. {link} Join us!,UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,88
68,Check! RT @mention giving added value to location based services needs to battle check-in fatigue #google #pnid #sxsw,UNKNOWN,No emotion toward brand or product,Neutral,Google,117
69,Chilcott: @mention #SXSW stand talking with Blogger staff. Too late to win competition for best tweet mentioning @mention So no t-shirt.,UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,136
71,Gowalla's @mention promises to launch Foursquare check-in + Groupon rewards-type service at #SXSW. Finger's crossed. {link},UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,123
72,"Ha.ha. RT @mention #SXSW News: Yahoo.com is loosing search traffic to new site, Google.com. Doubt it will last tho w/ that weird name.",UNKNOWN,No emotion toward brand or product,Neutral,Google,134
75,I worship @mention {link} #SXSW,UNKNOWN,No emotion toward brand or product,Neutral,Apple,31
76,"iPad2? RT @mention Droid &amp; Mac here :) RT @mention My #agnerd confession, using laptop, iPad &amp; blackberry to follow #SXSW",UNKNOWN,No emotion toward brand or product,Neutral,Apple,129
77,"Launching @mention #SxSW? RT @mention @mention Denies Social Network Called Circles Will Debut Today, Despite Report {link}",UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,123
80,Nice!  RT @mention Apple opening popup store for iPad launch in downtown Austin during #SXSW {link} via @mention,UNKNOWN,No emotion toward brand or product,Neutral,Apple,112
83,Stay tune @mention showcase #H4ckers {link} #SXSW,UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,49
84,Thank you @mention @mention for the #touchingstories preso #SXSW . Here's their deck {link},UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,91
85,Thank you @mention for an awesome #sxsw party! {link},UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,53
86,"Thanks RT @mention If you're trying to contact friends or family in #Japan, @mention has created a person finder: {link} #SXSW",UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,126
88,Thanks to @mention for publishing the news of @mention new medical Apps at the #sxswi conf. blog {link} #sxsw #sxswh,UNKNOWN,I can't tell,Neutral,UNKNOWN,116
89,Thanks to @mention for publishing the news of our new medical Apps in the #sxswi conf. blog {link} #sxsw #sxswh #mhealth,UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,120
91,Wonder if @mention &amp; @mention will be in the apple flashmob: tcrn.ch/fcs45j #SXSW #ipad2,UNKNOWN,No emotion toward brand or product,Neutral,Apple,92
92,Wonder if @mention is putting tips from the @mention API... #SxSW #SUxSW,UNKNOWN,No emotion toward brand or product,Neutral,Apple,72
95,"Yes!!! RT @mention hey @mention , i've got another gem for you --&gt; free @mention sxsw {link} #SXSW",UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,101
97,GSD&amp;M &amp; Google's Industry Party Tonight @mention - See u there! {link} #SXSW #Austin #Welivehere #GSDM,UNKNOWN,No emotion toward brand or product,Neutral,Google,110
98,"New buzz? &quot;@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} rt @mention #sxsw&quot;",UNKNOWN,No emotion toward brand or product,Neutral,Google,128
100,���@mention &quot;Apple has opened a pop-up store in Austin so the nerds in town for #SXSW can get their new iPads. {link} #wow,UNKNOWN,I can't tell,Neutral,Apple,127
103,".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy (via @mention",UNKNOWN,No emotion toward brand or product,Neutral,Google,135
105,"Attending &quot;left brain search = Google, Right brain search = X&quot;  #Bettersearch  -- talking about the future of search engines at #sxsw",UNKNOWN,No emotion toward brand or product,Neutral,Google,143
107,Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment,UNKNOWN,No emotion toward brand or product,Neutral,Apple,95
110,"Unboxing. #Apple #sxsw  @mention Apple Store, SXSW {link}",UNKNOWN,No emotion toward brand or product,Neutral,Apple,57
112,"At #SXSW, #Apple schools the #marketing experts | SXSW - CNET Blogs {link}",UNKNOWN,No emotion toward brand or product,Neutral,Apple,74
114,"At #SXSW, #Apple schools the marketing experts {link}",UNKNOWN,No emotion toward brand or product,Neutral,Apple,53
118,"Headed to #Austin for #SXSW? Check out my map for newbies {link} @mention @mention , @mention @mention Enjoy!",UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,109
119,Funny how #Austin is trending but not #SXSW. Only a matter of minutes at this point (at least according to Twitter for iPhone).,UNKNOWN,No emotion toward brand or product,Neutral,Apple,127
124,"#Google's #Mobile Future, and the Elusive 'Power of Here' - {link} (via @mention #eurorscg #sxsw #sxswi",UNKNOWN,No emotion toward brand or product,Neutral,Google,103
125,"For those #notatSXSW (or at #SXSW), here's {link} Free to download and meet nearby peps",UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,87
127,Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link} #seo #sxsw,UNKNOWN,No emotion toward brand or product,Neutral,Google,101
128,"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW",UNKNOWN,No emotion toward brand or product,Neutral,Apple,74
129,"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW /via @mention ^rg",UNKNOWN,No emotion toward brand or product,Neutral,Apple,92
132,Q1 Was at #sxsw #sxswi for prep. Amazing pre push locally. Focus on location based. Google owns 10% of the regions billboards. #pr20chat,UNKNOWN,No emotion toward brand or product,Neutral,Google,136
133,Any other #Sxsw accounts I need to follow or apps to download for iPhone?,UNKNOWN,No emotion toward brand or product,Neutral,Apple,73
134,Headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a business card broadcaster.,UNKNOWN,No emotion toward brand or product,Neutral,Apple,116
135,Headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a... {link},UNKNOWN,No emotion toward brand or product,Neutral,Apple,99
136,BTW - The #sxsw Apple store is sold out of all 3G models (VZW &amp; AT&amp;T).,UNKNOWN,No emotion toward brand or product,Neutral,Apple,78
139,Anyone at #sxsw been by the pop-up Apple store in Austin? That's gotta be a hopping place today.,UNKNOWN,No emotion toward brand or product,Neutral,Apple,96
142,Anyone at #sxsw had a chance to check out the pop-up Apple store? Wondering if it is worth the trek from the convention center...,UNKNOWN,No emotion toward brand or product,Neutral,Apple,129
146,@mention  #SXSW is an Austin conference. Do a google search - they have interactive / music / film.,UNKNOWN,No emotion toward brand or product,Neutral,Google,99
147,Anyone at #sxsw know if apple will be (or is) selling ipad 2 there?,UNKNOWN,No emotion toward brand or product,Neutral,Apple,67
148,Anyone at #SXSW know if the apple store has had a new shipment of iPads yet?,UNKNOWN,No emotion toward brand or product,Neutral,Apple,76
149,Marc Ecko #SXSW launches #iPhone app. to autodial political change! {link} #edreform #edtech #eduVC #FightThePaddle,UNKNOWN,No emotion toward brand or product,Neutral,Apple,115
151,"More free #SXSW mp3 downloads, this time from iTunes: {link}",UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,60
152,Anyone at #sxsw or heading to aclu event seen owt to do with google circles then?,UNKNOWN,No emotion toward brand or product,Neutral,Google,81
153,@mention  #SXSW prompt for memory: go to Google map and describe a childhood walk,UNKNOWN,No emotion toward brand or product,Neutral,Google,81
155,Essential #sxsw tools: {link},UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,29
157,"Following #sxsw Tweets on Google Realtime, four platforms on Tweet Deck and listening to panel, realizing I'm spoken to no one here today.",UNKNOWN,No emotion toward brand or product,Neutral,Google,138
158,Anyone at #sxsw want an iPad 2? I'm in line and will pick one up for someone willing to pay me 50 for me to grab 1 for you?,UNKNOWN,No emotion toward brand or product,Neutral,Apple,123
160,Solving a #SXSW-induced iPhone-in-toilet crisis at Apple Store with @mention (not my crisis for once),UNKNOWN,No emotion toward brand or product,Neutral,Apple,101
162,Attending #sxsw? Austin Guide by @mention is now free to download on iTunes - {link} #lp,UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,88
168,Hey #sxsw #sxswi folks. If you want to learn about security come over to #bsidesaustin {link},UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,93
169,Attending #SXSWi? Work in iPhone / iPad game development? Looking to hire an Austin-based iOS developer? I'm your man. Let's talk. #SXSW,UNKNOWN,No emotion toward brand or product,Neutral,Apple,136
171,GSD&amp;M + Google 7-10. RT @mention What's the best party to hit tonight? #sxsw @mention @mention,UNKNOWN,No emotion toward brand or product,Neutral,Google,98
172,GSD&amp;M + Google Industry Party #SXSW @mention great to meet you  {link},UNKNOWN,No emotion toward brand or product,Neutral,Google,74
176,.@mention 1154 free songs from #SXSW (this year alone!) {link},UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,62
177,more than 150 million mobile users for Google Maps for Mobile #SXSW,UNKNOWN,No emotion toward brand or product,Neutral,Google,67
178,Currently 150 people in line at the &quot;Pop Up Apple Store&quot; #sxsw,UNKNOWN,No emotion toward brand or product,Neutral,Apple,72
179,"Only iPad 2 available at #sxsw is the 64GB wifi-only model at $699, plus the optional (not!) leather smart cover at $69",UNKNOWN,No emotion toward brand or product,Neutral,Apple,119
180,��� We love 2 entertain you��_Please don�۪t be grateful! ��_ {link} ��_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,126
181,Less than 2 hours until we announce the details on the iPad 2 giveaway! #SXSW #SXSWi,UNKNOWN,No emotion toward brand or product,Neutral,Apple,84
183,(The iPad 2 queue at #sxsw of course,UNKNOWN,No emotion toward brand or product,Neutral,Apple,36
186,Apple has 200M users' credit cards sync'd with iTunes for one click purchase. . #winning #sxsw,UNKNOWN,No emotion toward brand or product,Neutral,Apple,94
187,Having my 2nd cocktail &quot;Texas Snowflake&quot;  ( @mention google it!!) at the #CNNGrill #SxSw,UNKNOWN,No emotion toward brand or product,Neutral,Google,98
189,New Post: 3 iPhone Apps We'll Be Using at South By Southwest Interactive #SXSW #SXSWi {link},UNKNOWN,No emotion toward brand or product,Neutral,Apple,92
192,rt ' It's 4 p.m. and the #iPad2 line at the Apple store is longer and wider ��� about 250 people! Only one more hour. ' #sxsw,UNKNOWN,No emotion toward brand or product,Neutral,Apple,125
193,"U = smart 4 packing an extra :) RT @mention On my way to sunny Austin for #sxsw! Extra iPhone in stow, just in case. @mention @mention",UNKNOWN,No emotion toward brand or product,Neutral,Apple,134
194,"Wonder if 4sqwill attempt to block GoWalla cross-checkins, the way Facebook blocked Google's contacts connections.  #sxsw #lbsWars",UNKNOWN,No emotion toward brand or product,Neutral,Google,130
195,"Check out 5 Steps to Bulletproof UX Strategy at SXSW
{link} #SXSW #rhjr_ux5  {link}",UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,83
196,"Wandering 6th street with the girls. Stopped for ceviche, mojitos, apple juice &amp; ice cream. #sxsw",UNKNOWN,No emotion toward brand or product,Neutral,Apple,101
198,We've got a busy week ahead: Our new book on #Google Apps will be available on Amazon &amp; we're attending #SXSW,UNKNOWN,No emotion toward brand or product,Neutral,Google,113
199,"I believe a few went to Aussies at #sxsw RT @mention iPad 2 Sold Out, 70% Went to New Buyers [REPORT] - {link}",UNKNOWN,No emotion toward brand or product,Neutral,Apple,110
200,���@mention A Google Spreadsheet of over 270 parties at #SXSW this year O_O {link} @mention Plan on going to #SXSW Party on,UNKNOWN,No emotion toward brand or product,Neutral,Google,123
201,"There was a guy in line for Apple's pop-up store on Sixth Street in Austin. &quot;I'm that guy,&quot; he told me. #sxsw",UNKNOWN,No emotion toward brand or product,Neutral,Apple,119
203,"I've seen a lot of tablets here, every single one of them is an iPad. #SXSW",UNKNOWN,No emotion toward brand or product,Neutral,Apple,75
204,Receiving a lot of @mention messages telling me I'm sexy in response to my post looking to meet fellow Christian iPhone devs at #sxsw,UNKNOWN,No emotion toward brand or product,Neutral,Apple,133
206,"Now thats a NEWS :P RT@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",UNKNOWN,No emotion toward brand or product,Neutral,Google,116
207,"Just took a piss at the trade show, iPad in one hand, iPhone in the other. Pissing. I am KIIIIIILLING it right now. #sxsw",UNKNOWN,No emotion toward brand or product,Neutral,Apple,121
209,HOBO WITH A SHOTGUN iPhone game {link} #sxsw,UNKNOWN,No emotion toward brand or product,Neutral,Apple,44
212,Just took a survey on iPhone while in Starbucks line. Got a free Starbucks gift card. Instant research. Instant gratification. #sxsw #gsdm,UNKNOWN,No emotion toward brand or product,Neutral,Apple,138
213,Apple has a temporary Retail Store in Austin for the iPad 2 release today. Opens at 5pm. #SXSW #SXSWi #ipad2,UNKNOWN,No emotion toward brand or product,Neutral,Apple,108
215,Wondering about Circles? &gt; Google to reveal a new social network at #SXSW {link},UNKNOWN,No emotion toward brand or product,Neutral,Google,83
216,"google is about search, but local' marissa mayer #sxsw",UNKNOWN,No emotion toward brand or product,Neutral,Google,54
217,Wondering about street closures during SXSW? We made a Google Map to show you: {link} #sxsw #austin,UNKNOWN,No emotion toward brand or product,Neutral,Google,99
218,Is Google about to have another go at social with &quot;Google Circles&quot;? #sxsw #google,UNKNOWN,No emotion toward brand or product,Neutral,Google,91
219,Questions about what's inside the iPad 2? Fire them my way. #sxsw,UNKNOWN,No emotion toward brand or product,Neutral,Apple,65
220,Paraormal activity: Sanctuary iphone game. Sketching your AR experience. Interactivity through &quot;magic lense&quot; #EduAR #sxsw,UNKNOWN,No emotion toward brand or product,Neutral,Apple,131
221,Apple IIe ad in the '85 SI swimsuit issue at a garage sale #sxsw {link},UNKNOWN,No emotion toward brand or product,Neutral,Apple,71
222,Flipboard Adds Instagram Photos and Social Search [Apps] {link} #Apple #SocialSearch #SXSW,UNKNOWN,No emotion toward brand or product,Neutral,Apple,90
223,Spent the aftrnoon on a frozen lake photographing my brother Scott &amp; the @mention team. Catch them at #SXSW ths weeknd.  {link},UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,131
226,"Dj hoodie allen, with all due respect, you should probably make your way back to google #sxsw",UNKNOWN,No emotion toward brand or product,Neutral,Google,93
228,"Just what America needs. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",UNKNOWN,I can't tell,Neutral,Google,122
229,Audioboo: American Dream or Bust {link} #iPad #sxsw #bum #begger #us #socialart #Documentally,UNKNOWN,No emotion toward brand or product,Neutral,Apple,93
230,Skifta is an app-based media shifting service that turns your Android phone into a ...  #sxsw #mashable #sxswi {link},UNKNOWN,No emotion toward brand or product,Neutral,Google,117
232,What does an Apple security guy after he locks up the store..... #sxsw - {link},UNKNOWN,No emotion toward brand or product,Neutral,Apple,79
233,What does an Apple security guy after he locks up the store..... #sxsw - The Realtime SXSW S... {link} curated by @mention,UNKNOWN,No emotion toward brand or product,Neutral,Apple,122
234,How I got an iPad 2 during #SXSW!  {link} cc @mention,UNKNOWN,No emotion toward brand or product,Neutral,Apple,53
237,GSD&amp;M and Google.....sitting in a tree {link} #sxsw #gsdm,UNKNOWN,No emotion toward brand or product,Neutral,Google,61
238,@mention  and here's a pic of you winning your ipad! #unsix #sxsw cc @mention @mention  {link} (cont) {link},UNKNOWN,No emotion toward brand or product,Neutral,Apple,108
239,My iPhone and I are both VERY thirsty! #sxsw (@mention Chevy Volt Lounge w/ 16 others) {link},UNKNOWN,No emotion toward brand or product,Neutral,Apple,93
240,My iPhone and I are both VERY thirsty! #sxsw (@mention Chevy Volt Lounge w/ 16 others) {link} {link},UNKNOWN,No emotion toward brand or product,Neutral,Apple,100
241,"I came in and left #sxsw with my iPhone playing the same song, chosen at random: Skream's Listening to the Records on my wall. Appropriate.",UNKNOWN,No emotion toward brand or product,Neutral,Apple,139
243,"Arduino + android = Flaming skulls  {link} Refrigerator Speaks , Salon K, 3:30pm @mention @mention #sxsw #smartthings",UNKNOWN,No emotion toward brand or product,Neutral,Google,117
244,Reminder: Android and Chrome TTS talk @mention 1 PM today!  {link}  #sxsw,UNKNOWN,No emotion toward brand or product,Neutral,Google,73
245,iPad 2 vs Android vs The World : Panel at #SXSW today 3:30PM by @mention {link},UNKNOWN,No emotion toward brand or product,Neutral,BOTH,79
246,"Backupify Announces CloudSight Search, the First Searchable Archive Solution for Social Media and Google Apps #SXSW #SXSWi {link}",UNKNOWN,No emotion toward brand or product,Neutral,Google,129
247,Google is announcing a social network &quot;Circles&quot; (via #SXSW tweets). Interesting. Myopia will cause Buzz jokes. But this is interesting.,UNKNOWN,No emotion toward brand or product,Neutral,Google,145
249,Did u see anything on Google's Circles at the #sxsw? @mention @mention,UNKNOWN,No emotion toward brand or product,Neutral,Google,70
251,Our #sxsw app is now on #android :D huge props to @mention @mention @mention &amp; @mention Get it now: {link},UNKNOWN,No emotion toward brand or product,Neutral,Google,110
254,My iPhone app screen for #sxsw what am I missing?   {link},UNKNOWN,No emotion toward brand or product,Neutral,Apple,58
256,The #SXSW Apple &quot;pop-up&quot; store was nuts. Was still packed at 11:30. {link},Apple,No emotion toward brand or product,Neutral,Apple,84
